hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018338465.1	994430	994574	+	0.737
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014847331.1	409	561	-	0.849
GCF_001704415.1_ARS1_genomic	NC_030818.1	505034	505186	-	0.627
GCF_000400835.1_PHO1.0_genomic	NW_005811459.1	1008545	1008706	-	0.740
GCF_000002295.2_MonDom5_genomic	NC_008803.1	321238385	321238536	-	0.665
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344018.1	7829256	7829413	-	0.665
GCF_000648675.1_Clec_1.0_genomic	NW_014465130.1	148624	148777	+	0.741
GCF_000981445.1_Bbig001_genomic	NW_012237087.1	1415	1568	-	0.837
GCF_000223135.1_CriGri_1.0_genomic	NW_003635062.1	728	881	-	0.831
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658271.1	115475	115628	+	0.759
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003838795.1	1607771	1607910	+	0.652
