hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335219.1	127754	127955	+	0.798
GCF_000003205.7_Btau_5.0.1_genomic	NC_007302.6	118107462	118107701	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030811.1	117807053	117807289	-	0.835
GCF_000400835.1_PHO1.0_genomic	NW_005817055.1	274844	275074	-	0.811
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785774.1	1437253	1437500	-	0.834
GCF_000298355.1_BosGru_v2.0_genomic	NW_005396141.1	124617	124865	+	0.909
GCF_000298735.2_Oar_v4.0_genomic	NC_019461.2	116312363	116312599	+	0.838
GCF_000987745.1_ASM98774v1_genomic	NW_015965756.1	3645	3866	+	0.744
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032653.1	121177842	121178081	+	0.993
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495061.1	5218492	5218811	-	0.734
GCF_000765115.1_Oori1_genomic	NW_011942441.1	155336	155572	+	0.837
