hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018333184.1	475541	475754	-	0.784
GCF_000003205.7_Btau_5.0.1_genomic	NC_007331.5	148045541	148045770	+	1.000
GCF_001704415.1_ARS1_genomic	NW_017189516.1	62193608	62193821	+	0.793
GCF_000400835.1_PHO1.0_genomic	NW_005818577.1	196412	196628	+	0.811
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005782448.1	423140	423355	-	0.832
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395833.1	298794	299035	+	0.541
GCF_000298735.2_Oar_v4.0_genomic	NC_019484.2	130528022	130528237	-	0.803
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	25647967	25648151	-	0.709
GCF_000987745.1_ASM98774v1_genomic	NW_015965589.1	2190	2419	+	0.724
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032679.1	86754292	86754521	+	0.743
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494619.1	234276	234509	+	0.837
GCF_000765115.1_Oori1_genomic	NW_011942337.1	2105976	2106192	+	0.798
