hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	268874	269494	-	0.596
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	611	1472	+	0.729
GCF_000003205.7_Btau_5.0.1_genomic	NC_007312.6	137311	138437	+	0.768
GCF_000956105.1_Pcoq_1.0_genomic	NW_012138648.1	1659	2444	-	0.519
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005688377.1	292	1297	+	0.708
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395818.1	16755	17754	-	0.778
GCF_000181275.1_SorAra2.0_genomic	NW_004548861.1	157	852	+	0.560
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	10	564	-	0.597
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000263	34001072	-	0.595
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	193	1177	+	0.746
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011410019.1	5801	6803	+	0.756
