hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	268874	269375	-	0.606
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	4	527	+	0.687
GCF_000003205.7_Btau_5.0.1_genomic	NC_007314.5	27972	28588	+	0.815
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005782950.1	163646	164224	-	0.710
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	381911	382404	-	0.553
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395818.1	16884	17472	+	0.720
GCF_000298735.2_Oar_v4.0_genomic	NC_019466.2	613745	614308	-	0.506
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	1	539	-	0.632
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000285	34000831	-	0.721
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494910.1	25525	26089	+	0.975
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	844	1412	+	0.718
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	2166993	2167562	+	0.527
